[Epoch 0 Batch 4/1713] loss=2.4230, lr=0.0000050, acc=0.156
[Epoch 0 Batch 8/1713] loss=2.3002, lr=0.0000050, acc=0.234
[Epoch 0 Batch 12/1713] loss=2.4617, lr=0.0000050, acc=0.208
[Epoch 0 Batch 16/1713] loss=2.2809, lr=0.0000050, acc=0.227
[Epoch 0 Batch 20/1713] loss=2.3934, lr=0.0000050, acc=0.216
[Epoch 0 Batch 24/1713] loss=2.3874, lr=0.0000050, acc=0.219
[Epoch 0 Batch 28/1713] loss=2.2891, lr=0.0000050, acc=0.225
[Epoch 0 Batch 32/1713] loss=2.2802, lr=0.0000050, acc=0.229
[Epoch 0 Batch 36/1713] loss=2.3414, lr=0.0000050, acc=0.226
[Epoch 0 Batch 40/1713] loss=2.4429, lr=0.0000050, acc=0.212
[Epoch 0 Batch 44/1713] loss=2.2238, lr=0.0000050, acc=0.214
[Epoch 0 Batch 48/1713] loss=2.1814, lr=0.0000050, acc=0.219
[Epoch 0 Batch 52/1713] loss=2.3240, lr=0.0000050, acc=0.214
[Epoch 0 Batch 56/1713] loss=2.4387, lr=0.0000050, acc=0.206
[Epoch 0 Batch 60/1713] loss=2.3554, lr=0.0000050, acc=0.203
[Epoch 0 Batch 64/1713] loss=2.2790, lr=0.0000050, acc=0.201
[Epoch 0 Batch 68/1713] loss=2.2031, lr=0.0000050, acc=0.202
[Epoch 0 Batch 72/1713] loss=2.3221, lr=0.0000050, acc=0.201
[Epoch 0 Batch 76/1713] loss=2.2447, lr=0.0000050, acc=0.205
[Epoch 0 Batch 80/1713] loss=2.2924, lr=0.0000050, acc=0.205
[Epoch 0 Batch 84/1713] loss=2.2854, lr=0.0000050, acc=0.202
[Epoch 0 Batch 88/1713] loss=2.3428, lr=0.0000050, acc=0.200
[Epoch 0 Batch 92/1713] loss=2.1318, lr=0.0000050, acc=0.204
[Epoch 0 Batch 96/1713] loss=2.2628, lr=0.0000050, acc=0.201
[Epoch 0 Batch 100/1713] loss=2.2434, lr=0.0000050, acc=0.200
[Epoch 0 Batch 104/1713] loss=2.2532, lr=0.0000050, acc=0.201
[Epoch 0 Batch 108/1713] loss=2.2500, lr=0.0000050, acc=0.201
[Epoch 0 Batch 112/1713] loss=2.1701, lr=0.0000050, acc=0.204
[Epoch 0 Batch 116/1713] loss=2.1684, lr=0.0000050, acc=0.206
[Epoch 0 Batch 120/1713] loss=2.2844, lr=0.0000050, acc=0.206
[Epoch 0 Batch 124/1713] loss=2.2914, lr=0.0000050, acc=0.206
[Epoch 0 Batch 128/1713] loss=2.1659, lr=0.0000050, acc=0.210
[Epoch 0 Batch 132/1713] loss=2.3165, lr=0.0000050, acc=0.206
[Epoch 0 Batch 136/1713] loss=2.0730, lr=0.0000050, acc=0.207
[Epoch 0 Batch 140/1713] loss=2.2719, lr=0.0000050, acc=0.205
[Epoch 0 Batch 144/1713] loss=2.1784, lr=0.0000050, acc=0.207
[Epoch 0 Batch 148/1713] loss=2.2532, lr=0.0000050, acc=0.209
[Epoch 0 Batch 152/1713] loss=2.3065, lr=0.0000050, acc=0.208
[Epoch 0 Batch 156/1713] loss=2.1830, lr=0.0000050, acc=0.208
[Epoch 0 Batch 160/1713] loss=2.1348, lr=0.0000050, acc=0.212
[Epoch 0 Batch 164/1713] loss=2.2575, lr=0.0000050, acc=0.212
[Epoch 0 Batch 168/1713] loss=2.2468, lr=0.0000050, acc=0.212
[Epoch 0 Batch 172/1713] loss=2.2144, lr=0.0000050, acc=0.212
[Epoch 0 Batch 176/1713] loss=2.1656, lr=0.0000050, acc=0.213
[Epoch 0 Batch 180/1713] loss=2.2618, lr=0.0000050, acc=0.212
