[Epoch 0 Batch 4/349] loss=2.0723, lr=0.0000050, acc=0.109
[Epoch 0 Batch 8/349] loss=1.9962, lr=0.0000050, acc=0.070
[Epoch 0 Batch 12/349] loss=1.8884, lr=0.0000050, acc=0.115
[Epoch 0 Batch 16/349] loss=1.7834, lr=0.0000050, acc=0.207
[Epoch 0 Batch 20/349] loss=1.5824, lr=0.0000050, acc=0.303
[Epoch 0 Batch 24/349] loss=1.6425, lr=0.0000050, acc=0.341
[Epoch 0 Batch 28/349] loss=1.5161, lr=0.0000050, acc=0.380
[Epoch 0 Batch 32/349] loss=1.3143, lr=0.0000050, acc=0.435
[Epoch 0 Batch 36/349] loss=1.3967, lr=0.0000050, acc=0.467
[Epoch 0 Batch 40/349] loss=1.4901, lr=0.0000050, acc=0.479
[Epoch 0 Batch 44/349] loss=1.1088, lr=0.0000050, acc=0.516
[Epoch 0 Batch 48/349] loss=1.5002, lr=0.0000050, acc=0.520
[Epoch 0 Batch 52/349] loss=1.2785, lr=0.0000050, acc=0.534
[Epoch 0 Batch 56/349] loss=1.2316, lr=0.0000050, acc=0.550
[Epoch 0 Batch 60/349] loss=1.2228, lr=0.0000050, acc=0.560
[Epoch 0 Batch 64/349] loss=0.9848, lr=0.0000050, acc=0.578
[Epoch 0 Batch 68/349] loss=1.1343, lr=0.0000050, acc=0.586
[Epoch 0 Batch 72/349] loss=1.0261, lr=0.0000050, acc=0.600
[Epoch 0 Batch 76/349] loss=1.1429, lr=0.0000050, acc=0.605
[Epoch 0 Batch 80/349] loss=0.8734, lr=0.0000050, acc=0.618
[Epoch 0 Batch 84/349] loss=1.2196, lr=0.0000050, acc=0.621
[Epoch 0 Batch 88/349] loss=1.2288, lr=0.0000050, acc=0.621
[Epoch 0 Batch 92/349] loss=0.9568, lr=0.0000050, acc=0.629
[Epoch 0 Batch 96/349] loss=0.8921, lr=0.0000050, acc=0.637
[Epoch 0 Batch 100/349] loss=1.0091, lr=0.0000050, acc=0.641
[Epoch 0 Batch 104/349] loss=0.9682, lr=0.0000050, acc=0.648
[Epoch 0 Batch 108/349] loss=0.5845, lr=0.0000050, acc=0.657
[Epoch 0 Batch 112/349] loss=0.8970, lr=0.0000050, acc=0.662
[Epoch 0 Batch 116/349] loss=0.8380, lr=0.0000050, acc=0.666
[Epoch 0 Batch 120/349] loss=0.6507, lr=0.0000050, acc=0.670
[Epoch 0 Batch 124/349] loss=0.7865, lr=0.0000050, acc=0.675
[Epoch 0 Batch 128/349] loss=0.7031, lr=0.0000050, acc=0.680
[Epoch 0 Batch 132/349] loss=0.7361, lr=0.0000050, acc=0.685
[Epoch 0 Batch 136/349] loss=0.4542, lr=0.0000050, acc=0.692
[Epoch 0 Batch 140/349] loss=0.7409, lr=0.0000050, acc=0.696
[Epoch 0 Batch 144/349] loss=0.5895, lr=0.0000050, acc=0.699
[Epoch 0 Batch 148/349] loss=0.5905, lr=0.0000050, acc=0.702
[Epoch 0 Batch 152/349] loss=0.3774, lr=0.0000050, acc=0.708
[Epoch 0 Batch 156/349] loss=0.8893, lr=0.0000050, acc=0.708
[Epoch 0 Batch 160/349] loss=0.7048, lr=0.0000050, acc=0.710
[Epoch 0 Batch 164/349] loss=0.7258, lr=0.0000050, acc=0.712
[Epoch 0 Batch 168/349] loss=0.6573, lr=0.0000050, acc=0.715
[Epoch 0 Batch 172/349] loss=0.7242, lr=0.0000050, acc=0.718
