[Epoch 0 Batch 4/349] loss=1.9487, lr=0.0000050, acc=0.297
[Epoch 0 Batch 8/349] loss=1.6887, lr=0.0000050, acc=0.328
[Epoch 0 Batch 12/349] loss=1.5557, lr=0.0000050, acc=0.391
[Epoch 0 Batch 16/349] loss=1.5388, lr=0.0000050, acc=0.441
[Epoch 0 Batch 20/349] loss=1.2439, lr=0.0000050, acc=0.509
[Epoch 0 Batch 24/349] loss=1.3954, lr=0.0000050, acc=0.534
[Epoch 0 Batch 28/349] loss=1.3438, lr=0.0000050, acc=0.548
[Epoch 0 Batch 32/349] loss=0.9307, lr=0.0000050, acc=0.595
[Epoch 0 Batch 36/349] loss=1.1773, lr=0.0000050, acc=0.613
[Epoch 0 Batch 40/349] loss=1.2785, lr=0.0000050, acc=0.619
[Epoch 0 Batch 44/349] loss=0.7226, lr=0.0000050, acc=0.647
[Epoch 0 Batch 48/349] loss=1.2931, lr=0.0000050, acc=0.645
[Epoch 0 Batch 52/349] loss=0.9746, lr=0.0000050, acc=0.655
[Epoch 0 Batch 56/349] loss=0.9049, lr=0.0000050, acc=0.668
[Epoch 0 Batch 60/349] loss=0.9497, lr=0.0000050, acc=0.673
[Epoch 0 Batch 64/349] loss=0.6651, lr=0.0000050, acc=0.685
[Epoch 0 Batch 68/349] loss=0.8270, lr=0.0000050, acc=0.691
[Epoch 0 Batch 72/349] loss=0.6950, lr=0.0000050, acc=0.698
[Epoch 0 Batch 76/349] loss=0.8471, lr=0.0000050, acc=0.702
[Epoch 0 Batch 80/349] loss=0.6552, lr=0.0000050, acc=0.711
[Epoch 0 Batch 84/349] loss=1.0497, lr=0.0000050, acc=0.709
[Epoch 0 Batch 88/349] loss=1.1206, lr=0.0000050, acc=0.705
[Epoch 0 Batch 92/349] loss=0.7042, lr=0.0000050, acc=0.708
[Epoch 0 Batch 96/349] loss=0.6029, lr=0.0000050, acc=0.715
[Epoch 0 Batch 100/349] loss=0.7668, lr=0.0000050, acc=0.716
[Epoch 0 Batch 104/349] loss=0.6870, lr=0.0000050, acc=0.719
[Epoch 0 Batch 108/349] loss=0.3817, lr=0.0000050, acc=0.726
[Epoch 0 Batch 112/349] loss=0.6767, lr=0.0000050, acc=0.729
[Epoch 0 Batch 116/349] loss=0.8064, lr=0.0000050, acc=0.730
[Epoch 0 Batch 120/349] loss=0.3844, lr=0.0000050, acc=0.735
[Epoch 0 Batch 124/349] loss=0.5595, lr=0.0000050, acc=0.738
[Epoch 0 Batch 128/349] loss=0.5969, lr=0.0000050, acc=0.741
[Epoch 0 Batch 132/349] loss=0.5716, lr=0.0000050, acc=0.743
[Epoch 0 Batch 136/349] loss=0.3054, lr=0.0000050, acc=0.747
[Epoch 0 Batch 140/349] loss=0.6034, lr=0.0000050, acc=0.750
[Epoch 0 Batch 144/349] loss=0.4018, lr=0.0000050, acc=0.752
[Epoch 0 Batch 148/349] loss=0.4573, lr=0.0000050, acc=0.755
[Epoch 0 Batch 152/349] loss=0.3178, lr=0.0000050, acc=0.760
[Epoch 0 Batch 156/349] loss=0.7752, lr=0.0000050, acc=0.759
[Epoch 0 Batch 160/349] loss=0.5368, lr=0.0000050, acc=0.760
[Epoch 0 Batch 164/349] loss=0.6286, lr=0.0000050, acc=0.761
[Epoch 0 Batch 168/349] loss=0.5592, lr=0.0000050, acc=0.763
[Epoch 0 Batch 172/349] loss=0.6936, lr=0.0000050, acc=0.764
[Epoch 0 Batch 176/349] loss=0.5503, lr=0.0000050, acc=0.764
[Epoch 0 Batch 180/349] loss=0.7489, lr=0.0000050, acc=0.765
[Epoch 0 Batch 184/349] loss=0.3728, lr=0.0000050, acc=0.769
[Epoch 0 Batch 188/349] loss=0.3943, lr=0.0000050, acc=0.772
[Epoch 0 Batch 192/349] loss=0.3442, lr=0.0000050, acc=0.774
[Epoch 0 Batch 196/349] loss=0.3059, lr=0.0000050, acc=0.777
[Epoch 0 Batch 200/349] loss=0.5049, lr=0.0000050, acc=0.778
[Epoch 0 Batch 204/349] loss=0.6869, lr=0.0000050, acc=0.777
[Epoch 0 Batch 208/349] loss=0.5638, lr=0.0000050, acc=0.779
[Epoch 0 Batch 212/349] loss=0.4756, lr=0.0000050, acc=0.781
[Epoch 0 Batch 216/349] loss=0.3543, lr=0.0000050, acc=0.783
[Epoch 0 Batch 220/349] loss=0.1896, lr=0.0000050, acc=0.787
[Epoch 0 Batch 224/349] loss=0.6707, lr=0.0000050, acc=0.789
[Epoch 0 Batch 228/349] loss=0.2765, lr=0.0000050, acc=0.791
[Epoch 0 Batch 232/349] loss=0.4144, lr=0.0000050, acc=0.794
[Epoch 0 Batch 236/349] loss=0.3093, lr=0.0000050, acc=0.795
[Epoch 0 Batch 240/349] loss=0.4343, lr=0.0000050, acc=0.797
[Epoch 0 Batch 244/349] loss=0.6038, lr=0.0000050, acc=0.798
[Epoch 0 Batch 248/349] loss=0.3897, lr=0.0000050, acc=0.799
[Epoch 0 Batch 252/349] loss=0.1040, lr=0.0000050, acc=0.802
[Epoch 0 Batch 256/349] loss=0.4311, lr=0.0000050, acc=0.803
[Epoch 0 Batch 260/349] loss=0.2213, lr=0.0000050, acc=0.805
[Epoch 0 Batch 264/349] loss=0.2686, lr=0.0000050, acc=0.807
[Epoch 0 Batch 268/349] loss=0.1071, lr=0.0000050, acc=0.810
[Epoch 0 Batch 272/349] loss=0.3873, lr=0.0000050, acc=0.812
[Epoch 0 Batch 276/349] loss=0.4739, lr=0.0000050, acc=0.813
[Epoch 0 Batch 280/349] loss=0.4288, lr=0.0000050, acc=0.814
[Epoch 0 Batch 284/349] loss=0.1575, lr=0.0000050, acc=0.817
[Epoch 0 Batch 288/349] loss=0.0827, lr=0.0000050, acc=0.819
[Epoch 0 Batch 292/349] loss=0.6193, lr=0.0000050, acc=0.820
[Epoch 0 Batch 296/349] loss=0.2474, lr=0.0000050, acc=0.822
[Epoch 0 Batch 300/349] loss=0.6534, lr=0.0000050, acc=0.822
[Epoch 0 Batch 304/349] loss=0.2837, lr=0.0000050, acc=0.824
[Epoch 0 Batch 308/349] loss=0.1975, lr=0.0000050, acc=0.825
[Epoch 0 Batch 312/349] loss=0.0441, lr=0.0000050, acc=0.828
[Epoch 0 Batch 316/349] loss=0.2663, lr=0.0000050, acc=0.829
[Epoch 0 Batch 320/349] loss=0.1316, lr=0.0000050, acc=0.831
[Epoch 0 Batch 324/349] loss=0.2698, lr=0.0000050, acc=0.832
[Epoch 0 Batch 328/349] loss=0.1550, lr=0.0000050, acc=0.834
[Epoch 0 Batch 332/349] loss=0.3528, lr=0.0000050, acc=0.834
[Epoch 0 Batch 336/349] loss=0.2347, lr=0.0000050, acc=0.836
[Epoch 0 Batch 340/349] loss=0.3080, lr=0.0000050, acc=0.837
[Epoch 0 Batch 344/349] loss=0.2246, lr=0.0000050, acc=0.839
[Epoch 0 Batch 348/349] loss=0.4081, lr=0.0000050, acc=0.839
