[Epoch 0 Batch 4/180] loss=1.4275, lr=0.0000050, acc=0.188
[Epoch 0 Batch 8/180] loss=1.4494, lr=0.0000050, acc=0.186
[Epoch 0 Batch 12/180] loss=1.3951, lr=0.0000050, acc=0.209
[Epoch 0 Batch 16/180] loss=1.3224, lr=0.0000050, acc=0.236
[Epoch 0 Batch 20/180] loss=1.3604, lr=0.0000050, acc=0.248
[Epoch 0 Batch 24/180] loss=1.3067, lr=0.0000050, acc=0.254
[Epoch 0 Batch 28/180] loss=1.3305, lr=0.0000050, acc=0.264
[Epoch 0 Batch 32/180] loss=1.3566, lr=0.0000050, acc=0.277
[Epoch 0 Batch 36/180] loss=1.2674, lr=0.0000050, acc=0.290
[Epoch 0 Batch 40/180] loss=1.2252, lr=0.0000050, acc=0.315
[Epoch 0 Batch 44/180] loss=1.1692, lr=0.0000050, acc=0.336
[Epoch 0 Batch 48/180] loss=1.1522, lr=0.0000050, acc=0.345
[Epoch 0 Batch 52/180] loss=1.2512, lr=0.0000050, acc=0.349
[Epoch 0 Batch 56/180] loss=1.2560, lr=0.0000050, acc=0.345
[Epoch 0 Batch 60/180] loss=1.2089, lr=0.0000050, acc=0.352
[Epoch 0 Batch 64/180] loss=1.1495, lr=0.0000050, acc=0.361
[Epoch 0 Batch 68/180] loss=1.1580, lr=0.0000050, acc=0.370
[Epoch 0 Batch 72/180] loss=1.0762, lr=0.0000050, acc=0.380
[Epoch 0 Batch 76/180] loss=1.2199, lr=0.0000050, acc=0.383
[Epoch 0 Batch 80/180] loss=1.1325, lr=0.0000050, acc=0.392
[Epoch 0 Batch 84/180] loss=1.0723, lr=0.0000050, acc=0.401
[Epoch 0 Batch 88/180] loss=1.0677, lr=0.0000050, acc=0.415
[Epoch 0 Batch 92/180] loss=0.8532, lr=0.0000050, acc=0.431
[Epoch 0 Batch 96/180] loss=1.0892, lr=0.0000050, acc=0.437
[Epoch 0 Batch 100/180] loss=0.9810, lr=0.0000050, acc=0.447
[Epoch 0 Batch 104/180] loss=0.9500, lr=0.0000050, acc=0.459
[Epoch 0 Batch 108/180] loss=1.0252, lr=0.0000050, acc=0.465
[Epoch 0 Batch 112/180] loss=0.9227, lr=0.0000050, acc=0.475
[Epoch 0 Batch 116/180] loss=0.9624, lr=0.0000050, acc=0.482
[Epoch 0 Batch 120/180] loss=0.8816, lr=0.0000050, acc=0.489
[Epoch 0 Batch 124/180] loss=0.8721, lr=0.0000050, acc=0.495
[Epoch 0 Batch 128/180] loss=0.9954, lr=0.0000050, acc=0.501
[Epoch 0 Batch 132/180] loss=0.9401, lr=0.0000050, acc=0.506
[Epoch 0 Batch 136/180] loss=0.9059, lr=0.0000050, acc=0.512
[Epoch 0 Batch 140/180] loss=0.9015, lr=0.0000050, acc=0.517
[Epoch 0 Batch 144/180] loss=0.7808, lr=0.0000050, acc=0.524
[Epoch 0 Batch 148/180] loss=1.0716, lr=0.0000050, acc=0.525
[Epoch 0 Batch 152/180] loss=0.7641, lr=0.0000050, acc=0.533
[Epoch 0 Batch 156/180] loss=0.7083, lr=0.0000050, acc=0.540
[Epoch 0 Batch 160/180] loss=0.7350, lr=0.0000050, acc=0.548
[Epoch 0 Batch 164/180] loss=0.7460, lr=0.0000050, acc=0.552
[Epoch 0 Batch 168/180] loss=0.8686, lr=0.0000050, acc=0.554
[Epoch 0 Batch 172/180] loss=0.6673, lr=0.0000050, acc=0.561
[Epoch 0 Batch 176/180] loss=0.7539, lr=0.0000050, acc=0.565
[Epoch 0 Batch 180/180] loss=0.7753, lr=0.0000050, acc=0.568
[Epoch 1 Batch 4/180] loss=0.6349, lr=0.0000050, acc=0.875
[Epoch 1 Batch 8/180] loss=0.6191, lr=0.0000050, acc=0.832
[Epoch 1 Batch 12/180] loss=0.7419, lr=0.0000050, acc=0.819
[Epoch 1 Batch 16/180] loss=0.6610, lr=0.0000050, acc=0.817
[Epoch 1 Batch 20/180] loss=0.6244, lr=0.0000050, acc=0.817
[Epoch 1 Batch 24/180] loss=0.5804, lr=0.0000050, acc=0.830
[Epoch 1 Batch 28/180] loss=0.6606, lr=0.0000050, acc=0.825
[Epoch 1 Batch 32/180] loss=0.6603, lr=0.0000050, acc=0.819
[Epoch 1 Batch 36/180] loss=0.7936, lr=0.0000050, acc=0.809
