[Epoch 0 Batch 4/180] loss=1.3613, lr=0.0000050, acc=0.406
[Epoch 0 Batch 8/180] loss=1.2386, lr=0.0000050, acc=0.466
[Epoch 0 Batch 12/180] loss=1.3649, lr=0.0000050, acc=0.379
[Epoch 0 Batch 16/180] loss=1.3090, lr=0.0000050, acc=0.382
[Epoch 0 Batch 20/180] loss=1.2928, lr=0.0000050, acc=0.391
[Epoch 0 Batch 24/180] loss=1.2024, lr=0.0000050, acc=0.402
[Epoch 0 Batch 28/180] loss=1.2341, lr=0.0000050, acc=0.412
[Epoch 0 Batch 32/180] loss=1.1665, lr=0.0000050, acc=0.432
[Epoch 0 Batch 36/180] loss=1.1173, lr=0.0000050, acc=0.448
[Epoch 0 Batch 40/180] loss=1.1632, lr=0.0000050, acc=0.453
[Epoch 0 Batch 44/180] loss=0.9546, lr=0.0000050, acc=0.474
[Epoch 0 Batch 48/180] loss=1.1186, lr=0.0000050, acc=0.487
[Epoch 0 Batch 52/180] loss=1.1143, lr=0.0000050, acc=0.497
[Epoch 0 Batch 56/180] loss=1.0336, lr=0.0000050, acc=0.495
[Epoch 0 Batch 60/180] loss=1.0941, lr=0.0000050, acc=0.499
[Epoch 0 Batch 64/180] loss=1.0570, lr=0.0000050, acc=0.502
[Epoch 0 Batch 68/180] loss=0.9726, lr=0.0000050, acc=0.511
[Epoch 0 Batch 72/180] loss=1.0587, lr=0.0000050, acc=0.510
[Epoch 0 Batch 76/180] loss=1.0156, lr=0.0000050, acc=0.518
[Epoch 0 Batch 80/180] loss=0.9473, lr=0.0000050, acc=0.527
[Epoch 0 Batch 84/180] loss=0.8599, lr=0.0000050, acc=0.536
[Epoch 0 Batch 88/180] loss=0.9471, lr=0.0000050, acc=0.541
[Epoch 0 Batch 92/180] loss=0.6801, lr=0.0000050, acc=0.553
[Epoch 0 Batch 96/180] loss=1.1175, lr=0.0000050, acc=0.551
[Epoch 0 Batch 100/180] loss=0.8100, lr=0.0000050, acc=0.558
[Epoch 0 Batch 104/180] loss=0.7109, lr=0.0000050, acc=0.569
[Epoch 0 Batch 108/180] loss=0.8805, lr=0.0000050, acc=0.574
[Epoch 0 Batch 112/180] loss=0.7149, lr=0.0000050, acc=0.580
[Epoch 0 Batch 116/180] loss=0.8401, lr=0.0000050, acc=0.585
[Epoch 0 Batch 120/180] loss=0.5890, lr=0.0000050, acc=0.594
[Epoch 0 Batch 124/180] loss=0.5979, lr=0.0000050, acc=0.600
[Epoch 0 Batch 128/180] loss=0.7059, lr=0.0000050, acc=0.605
[Epoch 0 Batch 132/180] loss=0.7969, lr=0.0000050, acc=0.607
[Epoch 0 Batch 136/180] loss=0.6208, lr=0.0000050, acc=0.612
[Epoch 0 Batch 140/180] loss=0.8909, lr=0.0000050, acc=0.614
[Epoch 0 Batch 144/180] loss=0.8249, lr=0.0000050, acc=0.616
[Epoch 0 Batch 148/180] loss=0.5774, lr=0.0000050, acc=0.620
[Epoch 0 Batch 152/180] loss=0.5342, lr=0.0000050, acc=0.627
[Epoch 0 Batch 156/180] loss=0.5028, lr=0.0000050, acc=0.633
[Epoch 0 Batch 160/180] loss=0.4737, lr=0.0000050, acc=0.640
[Epoch 0 Batch 164/180] loss=0.5581, lr=0.0000050, acc=0.645
[Epoch 0 Batch 168/180] loss=0.6446, lr=0.0000050, acc=0.650
[Epoch 0 Batch 172/180] loss=0.4990, lr=0.0000050, acc=0.654
[Epoch 0 Batch 176/180] loss=0.4649, lr=0.0000050, acc=0.659
[Epoch 0 Batch 180/180] loss=0.5253, lr=0.0000050, acc=0.663
[Epoch 1 Batch 4/180] loss=0.3515, lr=0.0000050, acc=0.938
[Epoch 1 Batch 8/180] loss=0.4577, lr=0.0000050, acc=0.894
[Epoch 1 Batch 12/180] loss=0.4225, lr=0.0000050, acc=0.881
[Epoch 1 Batch 16/180] loss=0.3967, lr=0.0000050, acc=0.880
[Epoch 1 Batch 20/180] loss=0.4126, lr=0.0000050, acc=0.878
[Epoch 1 Batch 24/180] loss=0.2944, lr=0.0000050, acc=0.883
[Epoch 1 Batch 28/180] loss=0.5104, lr=0.0000050, acc=0.875
[Epoch 1 Batch 32/180] loss=0.3443, lr=0.0000050, acc=0.881
[Epoch 1 Batch 36/180] loss=0.6519, lr=0.0000050, acc=0.868
[Epoch 1 Batch 40/180] loss=0.3448, lr=0.0000050, acc=0.870
[Epoch 1 Batch 44/180] loss=0.3618, lr=0.0000050, acc=0.873
[Epoch 1 Batch 48/180] loss=0.3771, lr=0.0000050, acc=0.876
[Epoch 1 Batch 52/180] loss=0.5427, lr=0.0000050, acc=0.870
[Epoch 1 Batch 56/180] loss=0.2258, lr=0.0000050, acc=0.877
[Epoch 1 Batch 60/180] loss=0.4657, lr=0.0000050, acc=0.874
[Epoch 1 Batch 64/180] loss=0.2714, lr=0.0000050, acc=0.878
[Epoch 1 Batch 68/180] loss=0.3459, lr=0.0000050, acc=0.878
[Epoch 1 Batch 72/180] loss=0.5473, lr=0.0000050, acc=0.875
[Epoch 1 Batch 76/180] loss=0.2664, lr=0.0000050, acc=0.877
[Epoch 1 Batch 80/180] loss=0.2597, lr=0.0000050, acc=0.878
[Epoch 1 Batch 84/180] loss=0.5414, lr=0.0000050, acc=0.874
[Epoch 1 Batch 88/180] loss=0.2827, lr=0.0000050, acc=0.875
[Epoch 1 Batch 92/180] loss=0.4408, lr=0.0000050, acc=0.875
[Epoch 1 Batch 96/180] loss=0.2004, lr=0.0000050, acc=0.878
[Epoch 1 Batch 100/180] loss=0.3265, lr=0.0000050, acc=0.879
[Epoch 1 Batch 104/180] loss=0.2797, lr=0.0000050, acc=0.881
